# Gene Family	11507229_rna_2-RPKs
UniRef90_A5ZBN1|g__Bacteroides.s__Bacteroides_caccae	19679.2018662794
UniRef90_A5KR91	18823.7067037795
UniRef90_A5KR91|g__Blautia.s__Ruminococcus_torques	18823.7067037795
UniRef90_R6J881	18596.2390837827
UniRef90_R6J881|g__Bacteroides.s__Bacteroides_ovatus	18596.2390837827
UniRef90_UPI00015BEA70	18393.0801544183
UniRef90_UPI00015BEA70|g__Bacteroides.s__Bacteroides_uniformis	18393.0801544183
UniRef90_B3C522	16530.6895683319
UniRef90_B3C522|g__Bacteroides.s__Bacteroides_intestinalis	16530.6895683319
UniRef90_A8RZB5	15501.2312390564
UniRef90_A8RZB5|g__Clostridium.s__Clostridium_bolteae	15501.2312390564
UniRef90_A6L8Y4	13676.0524591811
UniRef90_A6L8Y4|g__Parabacteroides.s__Parabacteroides_distasonis	13676.0524591811
UniRef90_A7B6K2	13486.9011508484
UniRef90_A7B6K2|g__Clostridium.s__Clostridium_scindens	9821.4499687419
UniRef90_A7B6K2|g__Blautia.s__Ruminococcus_gnavus	1662.8835101235
UniRef90_A7B6K2|g__Dorea.s__Dorea_longicatena	939.9166441594
UniRef90_A7B6K2|g__Ruminococcus.s__Ruminococcus_lactaris	730.6662358356
UniRef90_A7B6K2|g__Blautia.s__Ruminococcus_torques	331.9847919880
UniRef90_A6L8X7	11025.8804294802
UniRef90_A6L8X7|g__Parabacteroides.s__Parabacteroides_distasonis	11025.8804294802
UniRef90_A8S6F2	10882.0381824613
UniRef90_A8S6F2|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	10882.0381824613
UniRef90_A7LQH0	10592.0225897302
UniRef90_A7LQH0|g__Bacteroides.s__Bacteroides_ovatus	10592.0225897302
UniRef90_A7VSA4	10449.1863181471
UniRef90_A7VSA4|g__Clostridium.s__Clostridium_leptum	10449.1863181471
UniRef90_A7AJP9	10356.1985814448
UniRef90_A7AJP9|g__Parabacteroides.s__Parabacteroides_merdae	10356.1985814448
UniRef90_A7B8Q0	9213.9887583582
UniRef90_A7B8Q0|g__Blautia.s__Ruminococcus_gnavus	6073.5015611410
UniRef90_A7B8Q0|g__Clostridium.s__Clostridium_scindens	3140.4871972171
UniRef90_A6BKY7	9041.6259747653
